141,0,0,5,yes
17,0,0,0,yes
27,0,0,1,yes
65,1,0,24,yes
63,0,0,4,yes
9,0,1,0,yes
23,0,2,0,yes
121,0,0,10,yes
7,0,1,0,yes
128,0,0,0,yes
121,0,0,10,yes
47,0,0,3,yes
16,0,0,7,yes
20,1,0,0,yes
24,0,0,3,yes
163,0,7,0,yes
10,0,2,2,yes
9,0,3,0,yes
15,0,0,0,yes
23,0,2,0,yes
10,0,0,2,yes
12,0,2,0,yes
167,0,0,0,yes
29,0,1,0,yes
5,0,2,0,yes
56,0,0,3,yes
17,0,0,0,yes
121,0,0,9,yes
36,2,0,0,yes
98,0,0,0,yes
13,3,0,0,yes
28,0,0,0,yes
27,0,0,11,yes
9,0,0,1,yes
2,0,0,0,yes
38,0,0,4,yes
14,0,0,3,yes
0,0,0,2,yes
5,0,3,0,yes
14,0,1,2,yes
12,0,0,1,yes
41,0,0,4,yes
7,0,0,0,yes
14,0,1,2,yes
13,0,1,0,yes
8,0,0,2,yes
8,0,3,0,yes
29,0,0,0,yes
30,0,0,0,yes
4,0,0,1,yes
0,0,0,2,yes
5,0,0,1,yes
13,0,0,8,yes
34,0,0,0,yes
62,0,0,4,yes
8,0,0,0,yes
10,0,1,0,yes
14,0,0,4,yes
199,0,0,0,yes
13,0,1,0,yes
9,0,0,0,yes
115,0,0,0,yes
9,0,0,0,yes
0,0,0,2,yes
0,0,0,1,yes
40,0,0,0,yes
1,0,0,0,yes
32,0,0,0,yes
20,0,0,0,yes
4,0,2,0,yes
4,0,0,0,yes
28,0,0,0,yes
14,0,0,2,yes
8,0,0,5,yes
13,1,0,1,yes
1,0,0,0,yes
13,0,0,0,yes
8,0,0,7,yes
7,2,0,0,yes
42,0,2,0,yes
26,0,0,0,yes
30,0,0,0,yes
62,0,0,0,yes
9,0,0,1,yes
18,0,0,0,yes
40,0,0,2,yes
110,0,0,5,yes
1,0,0,0,yes
0,0,0,0,yes
331,0,0,0,yes
23,1,0,5,yes
11,0,0,7,yes
2,0,0,0,yes
11,0,0,0,yes
13,0,0,0,yes
21,0,0,1,yes
5,0,0,0,yes
150,1,0,2,yes
55,0,0,2,yes
16,0,0,0,yes
150,1,0,2,yes
23,0,0,2,yes
27,2,0,3,yes
95,0,0,7,yes
11,0,0,2,yes
240,2,1,4,yes
1,0,0,0,yes
